Constituency,Constituency Leader,Municipalities,Administrators
PE Southwest,Bobby Stevenson,Nelson Mandela Metro,Karla Terblanche
PE Northern Areas,Athol Trollip,Nelson Mandela Metro,Dominic Prince
Ngqurha,Yusuf Cassim,Nelson Mandela Metro,Karla Terblanche
Winterhoek,Marshall von Buchenroder,Nelson Mandela Metro,Karla Terblanche
Tsitsi-Kouga,Andrew Whitfiedl,Kouga & Kou-Kamma,Carla Schoeman
Dr. Beyers Naude,Samantha Graham-Mare,Dr. Beyers Naude,Carla Schoeman
EC Midlands,Retief Odendaal,Inxuba Yethemba,Noxolo Bebeza
BCM Coastal,Nqaba Bhanga,Buffalo City Metro,Tenille Booth
SB Farrow,Thandeka Mbabama,Buffalo City Metro,Tenille Booth
Enoch Mgijima,Jane Cowley,Enoch Mgijima,Noxolo Bebeza
Zuurberg,Edmund van Vuuren,Sundays River Valley,Carla Schoeman
New Horizon,Annette Steyn,"Walter Sisulu, Senqu",Noxolo Bebeza
Chris Hani,Sanele Magaqa,"Emalahleni, Engcobo, Intsika Yethu, Sakhisizwe",Noxolo Bebeza
Alfred Nzo,Baxolile Nodada,"Matatiele, Umzimvubu, Elundini, Ntabankulu, Mbizana",Noxolo Bebeza
Raymond Mhlaba,Nomvano Zibonda,"Raymond Mhlaba, Amahlathi",Nolwazi Dolo
Frontier,Kevin Mileham,"Makana, Ndlambe, Ngqushwa",Karla Terblanche
Blue Crane,Vicky Knoetze,Blue Crane Route,Nolwazi Dolo
Phesheya Kwenciba 1,Chantel King,"Great Kei, Mnquma, Mbhashe",Nolwazi Dolo
Phesheya Kwenciba 2,Mlindi Nhanha,"King Sabata Dalindyebo, Nyandeni, Port St Johns, Ingquza Hill, Mhlontlo",Nolwazi Dolo
