slug,name,name_in_candidates_file
hope4sa,#Hope4SA,#HOPE4SA
abc,Abantu Batho Congress,ABANTU BATHO CONGRESS
al,Able Leadership,ABLE LEADERSHIP
aadp,Action Alliance Development Party,ACTION ALLIANCE DEVELOPMENT PARTY
actionsa,ActionSA,ACTIONSA
aar,Africa Africans Reclaim,AFRICA AFRICANS RECLAIM
ara,Africa Restoration Alliance,AFRICA RESTORATION ALLIANCE
act,African Congress for Transformation,AFRICAN CONGRESS FOR TRANSFORMATION
ahc,African Heart Congress,AFRICAN HEART CONGRESS
amc,African Movement Congress,AFRICAN MOVEMENT CONGRESS
apemo,African People's Movement,AFRICAN PEOPLE'S MOVEMENT
acp,All Citizens Party,ALL CITIZENS PARTY
acc,Alliance of Citizens for Change,ALLIANCE OF CITIZENS FOR CHANGE
am4c,Allied Movement for Change,ALLIED MOVEMENT FOR CHANGE
bosa,Build One South Africa with Mmusi Maimane,BUILD ONE SOUTH AFRICA WITH MMUSI MAIMANE
citizans,Citizans,CITIZANS
ciasa,Conservatives in Action,CONSERVATIVES IN ACTION
elf-sa,Economic Liberators Forum South Africa,ECONOMIC LIBERATORS FORUM SOUTH AFRICA
ccc,National Coloured Congress,NATIONAL COLOURED CONGRESS
nccm,Northern Cape Communities Movement,NORTHERN CAPE COMMUNITIES MOVEMENT
ohm,Organic Humanity Movement,ORGANIC HUMANITY MOVEMENT
pmc,People's Movement for Change,PEOPLE'S MOVEMENT FOR CHANGE
rp,Referendum Party,REFERENDUM PARTY
rise,Rise Mzansi,RISE MZANSI
sun,Sizwe Ummah Nation,SIZWE UMMAH NATION
sara,South African Rainbow Alliance,SOUTH AFRICAN RAINBOW ALLIANCE
sarko,South African Royal Kingdoms Organization,SOUTH AFRICAN ROYAL KINGDOMS ORGANIZATION
mk,Umkhonto Wesizwe,UMKHONTO WESIZWE
uat,United Africans Transformation,UNITED AFRICANS TRANSFORMATION
uim,United Independent Movement,UNITED INDEPENDENT MOVEMENT
xiluva,Xiluva,XILUVA
